source_category,source_subcategory,target_category,target_subcategory,target_category_id
Informatica Accesorios,,Tecnología,Informática Accesorios,
Conectividad,,Tecnología,Conectividad,
Robotica,,Tecnología,Robótica,
Impresoras y Scanner,,Tecnología,Impresoras y Scanners,
Tabletas,,Tecnología,Tablets,
Componentes,,Computación,Componentes,
Insumos,,Computación,Insumos,
Notebooks,,Computación,Notebooks,
Computadoras,,Computación,Computadoras,
Monitores,,Computación,Monitores,
Proyectores,,Computación,Proyectores,
Controladores,,Computación,Controladores,
Accesorios para Celular,,Celulares,Accesorios para Celular,
Celulares Libres,,Celulares,Celulares Libres,
Fundas,,Celulares,Fundas,
Accesorios Gamer,,Gaming,Accesorios Gamer,
Muebles y Sillas,,Gaming,Sillas Gamer,
Audio y video,,Audio y TV,Audio,
Television,,Audio y TV,Televisión,
Camaras Accesorios,,Seguridad,Cámaras,
Monitoreo,,Seguridad,Monitoreo,
Monitoreo Accesorios,,Seguridad,Accesorios de Monitoreo,
Movilidad Urbana,,Movilidad,Movilidad Urbana,
